"kodebarang","nama","stok",
"1.2553520.ACCPHI","BL VD 255/35 - 20 ACCELERA PHI R"," 4",
"1.2554017.PHI","BL VD 255/40 - 17 ACCELERA PHI"," 4",
"1.2554018.PHI","BL VD 255/40 - 18 ACCELERA PHI","18",
"1.2554019.PHI","BL VD 255/40 - 19 ACCELERA PHI"," 6",
"1.2554518.PHI","BL VD 255/45 - 18 ACCELERA PHI"," 4",
"1.2554520.IOTA","BL VD 255/45 - 20 ACC IOTA ST68"," 4",
"1.2555019.IOTA","BL VD 255/50 - 19 ACC IOTA ST 68"," 2",
"1.2555020.IOTA","BL VD 255/50 - 20 ACC IOTA ST68"," 4",
"1.2555518.IOTA","BL VD 255/55 - 18 ACC IOTA ST68"," 6",
"1.2555519.IOTA","BL VD 255/55 - 19 ACC IOTA  ST68"," 4",
"1.2556018.IOTA","BL VD 255/60 - 18 ACCELERA  IOTA ST68"," 8",
"1.26530.19.651","BL VD 265/30-19 ACC 651 SPORT"," 4",
"1.2653019.PHI","BL VD 265/30 - 19 ACCELERA PHI"," 4",
"1.2653518.651","BL VD 265/35 - 18 ACC 651SPORT"," 4",
"1.2653518.PHI","BL VD 265/35 - 18 ACCELERA PHI"," 6",
"1.2653519.PHI","BL VD 265/35 - 19 ACCELERA PHI"," 2",
"1.2654020.IOTAST68","BL VD 265/40 - 20 ACCELERA IOTA ST68"," 4",
"1.2654022.IOTA","BL VD 265/40 - 22 IOTA ST-68"," 4",
"1.2654520.IOTAST68","BL VD 265/45 - 20 ACCELERA IOTA  ST68"," 3",
"1.2655020.ACC.MT","BL VD 265/50 - 20 ACCELERA MT 01"," 8",
"1.2655020.IOTA","BL VD 265/50 - 20 ACC IOTA ST 68"," 4",
"1.2655020.OMIKRON","BL VD 265/50 - 20 ACCELERA OMIKRON AT"," 3",
"1.2656018.MT01","BL VD 265/60 - 18 ACCELERA M/T-01"," 4",
"1.2656018.OMIKRONA/T","BL VD 265/60 - 18 OMIKRON A/T"," 4",
"1.2656517.ACCMT","BL VD 265/65 - 17 ACCELERA M/T-01"," 2",
"1.2656517.AT1000.","BL ZTEEX 265/65 - 17 AT 1000"," 4",
"1.2656517.IOTA","BL VD 265/65 - 17 ACC IOTA ST68"," 4",
"1.2656517.OMIKRONAT","BL VD 265/65 - 17 ACC OMIKRON A/T"," 4",
"1.2657016.AT","BL VD 265/70 - 16 ACCELERA OMIKRON A/T","11",
"1.2657017.FORCE","BL VD 265/70 - 17 FORCEUM MT-08","11",
"1.2657017.OMIKRON AT","BL VD 265/70 - 17 ACCELERA OMIKRON AT"," 6",
"1.2657516.FORCEUMMT","BL VD 265/75 - 16 FORCEUM MT"," 4",
"1.2657516.OMIKRONAT","BL VD 265/75 - 16 ACC OMIKRON AT"," 4",
"1.2753019.ACCELERA","BL VD 275/30 -19 ACCELERA PHI 2"," 6",
"1.2753020.PHI2","BL VD 275/30 - 20 ACCELERA PHI2"," 4",
"1.2753519.PHI","BL VD 275/35 - 19 ACCELERA PHI 2"," 3",
"1.2753520.ACCELERA","BL VD 275/35 - 20 ACCELERA PHI 2"," 2",
"1.2754018.PHI","BL VD 275/40 - 18 ACCELERA PHI-2"," 2",
"1.2754019.PHI2","BL VD 275/40 - 19 ACCELERA PHI2"," 2",
"1.2754020.IOTA","BL VD 275/40 - 20 ACC IOTA"," 6",
"1.2754022.ST68","BL VD 275/40 - 22 IOTA ST 68"," 2",
"1.2754519.IOTA","BL VD 275/45-19 ACC IOTA ST-68"," 2",
"1.2754520.IOTA","BL VD 275/45-20 IOTA ST-68"," 2",
"1.2754522.ACC","BL VD 275/45 - 22 ACC IOTA ST68"," 4",
"1.2754522.ACC.MT","BL VD 275/45 - 22 ACCELERA MT"," 4",
"1.2755022.ST68","BL VD 275/50 - 22 ACC IOTA ST68"," 4",
"1.2755520.ACC.MT","BL VD 275/55 - 20 ACCELERA MT-01"," 8",
"1.2755520.IOTA","BL VD 275/55 - 20 ACCELERA IOTA"," 9",
"1.2755520.IOTAST68","BL VD 275/55 - 20 ACC IOTAST68","22",
"1.2755520.SU1000","BL ZTEEX 275/55 - 20 SU 1000"," 9",
"1.2756020.IOTA","BL VD 275/60-20 ACC IOTA  ST68"," 8",
"1.2757018.OMIKRONAT","BL VD 275/70 - 18 ACCLERA OMIKRON A/T"," 8",
"1.275/70R22.5 XZU","BL MC 275/70R22.5 XZU XINCITYZ TL","40",
"1.27X8.5014.FORC.MT08","BL VD 27X8.50 R14 FORCEUM MT08"," 6",
"1.2853019.PHI","BL VD 285/30-19 ACC PHI2","12",
"1.285/30-20.PHI2","BL VD 285/30-20 ACC PHI2"," 4",
"1.2853519.PHI2","BL VD 285/35 - 19 ACCELERA PHI2"," 0",
"1.2853522.ACCE","BL VD 285/35 - 22 ACC IOTAST68","27",
"1.2854519.ST68","BL VD 285/45 - 19 ACC IOTA ST68"," 1",
"1.2854521.ST68","BL VD 285/45 - 21 ACCELERA IOTA ST68"," 2",
"1.2854522.ST68","BL VD 285/45 - 22 ACCELERA IOTA ST68"," 6",
"1.2855020.HP202","BL ZTEEX 285/50 - 20 HP 202"," 2",
"1.2855020.IOTA","BL VD 285/50 - 20 ACCELERA IOTA ST68","12",
"1.2855020.OMI.AT.OOL","BL VD 285/50 - 20 OMIKRON AT OOL"," 1",
"1.2855020.OMIKRON.AT","BL VD 285/50 - 20 ACC. OMIKRON AT ","15",
"12856018.ACCE.OMIKRON A/T","BL VD 285/60 - 18 ACCELERA OMIKRON AT"," 4",
"1.2857017.ACC","BL VD 285/70 - 17 OMIKRON AT OWL"," 4",
"1.2857017.AT1000","BL ZTEEX 285/70 - 17 AT 1000"," 4",
"1.2857017.MT01","BL VD 285/70 - 17 ACCELERA MT-01"," 4",
"1.2952521.ACCE.PHI","BL VD 295/25 - 21 ACCELERA PHI"," 4",
"1.2953020.PHI","BL VD 295/30 - 20 ACCELERA PHI2"," 2",
"1.2958022.5.MULTI.DTL","BL MC 295/80 R22.5 XMD+","148",
"1.2958022.5.ST270","BL BFG 295/80 - R22.5 ST270"," 5",
"1.30X9.515.MT01","BL VD 30 X 9.5 - 15 ACC M/T-01"," 9",
"1.3110.5015.FORCE","BL VD 31X10.5 R15 FORCEUM MT"," 1",
"1.3153520 ACCELERA","BL VD 315/35 - 20 ACC IOTA ST68"," 1",
"1.31580225.MC","BL MC 315/80R22.5 XWHDD","30",
"1.31X10.515.ACCELERA","BL VD 31X10.5 R15 ACCELERA MT/01"," 8",
"1.3312520.ACCMT","BL VD 33X12.5 R20 ACCELERA MT-01"," 4",
"1.33X10.50 BADAK","BL VD 33X10.50-15 ACC BADAK ","23",
"1.3512520.ACCMT","BL VD 35X12.5 R20 ACCELERA MT"," 4",
"1.35X10.5015.BADAK","BL VD 35X10.50-15 ACC BADAK EXTREME"," 7",
"1.35X10.5016.BADAK","BL VD 35 X 10.50 - 16 ACC BADAK"," 5",
"1.35X125017.MT01","BL VD 35 X 12.50 R17 ACCELERA M/T-01"," 4",
"1/4INCHNAILHOLECARBIDECUTTER","1/4 INCH NAIL HOLE CARBIDE CUTTER"," 1",
"1.7001614GT.S88","BL GT 700 - 16 14 S88","15",
"1.7501512GT.S88","BL GT 750 - 15 12 S88N","19",
"1.7501512.MRD","BL BS 750 - 15 12 MRD/MRN","51",
"1.7.50-16 RCTRL","BL BFG 7.50R16LT RCTRL","19",
"1.7501614.CROSSCONTROL","BL BFG 750R16LT CROSS CONTROL 2"," 0",
"1.7501614.MRN","BL BS 750 - 16 14 MRN"," 1",
"1.7501614.S1M4.PLUS","BL MRF 7.50 - 16 S1M4 PLUS R14","42",
"1/8INCHNAILHOLECARBIDECUTTER","1/8 INCH NAIL HOLE CARBIDE CUTTER"," 1",
"19002014.EMSA","BL BS 900 - 20 14 EMSA"," 3",
"1.9002014.S88","BL GT 900 - 20 14 S88","14",
"1.900X22.5.10 14MM TOPU","VELG TOPU 900 X 22.5 H10 14MM"," 1",
"1.95R17,5XMZ","BL MC 9,5 R17,5 X MULTI Z","12",
"2.100020BS","BD BS 1000-20 TR 78","14",
"2.100020.GP","BD GRAND PRIX 1000 20","45",
